kingdom	phylum	class	order	family	genus
OTU_3028	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_3031	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	
OTU_3032	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	
OTU_3051	k__Bacteria					
OTU_3064	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
OTU_3067	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_3069	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_3094	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_3095	k__Bacteria	p__Spirochaetes	c__Spirochaetia	o__Spirochaetales	f__Spirochaetaceae	
OTU_3100	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_3106	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_3115	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_3117	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_3125	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales		
OTU_3126	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiales_incertae_sedis	
OTU_3133	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_3141	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae 1	
OTU_3144	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_3145	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales		
OTU_3148	k__Bacteria					
OTU_3159	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_3161	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_3193	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_3224	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_3227	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_3232	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales		
OTU_3245	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_3252	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_3256	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_3258	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_3262	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	
OTU_3286	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	
OTU_3294	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_3295	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_3296	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae 1	
OTU_3297	k__Bacteria					
OTU_3313	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_3321	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_3342	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	
OTU_3349	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_3355	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
OTU_3368	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_3370	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_3377	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
OTU_3381	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_3382	k__Bacteria					
OTU_3391	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_3403	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	
OTU_3420	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	
OTU_3422	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_3440	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_3445	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	
OTU_3449	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	
OTU_3465	k__Bacteria					
OTU_3468	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_3474	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_3476	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_3478	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_3487	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_3490	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_3492	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_3513	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_3519	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_3527	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_3528	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_3534	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_3558	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	
OTU_3560	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_3574	k__Bacteria					
OTU_3578	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_3581	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	
OTU_3585	k__Bacteria					
OTU_3586	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_3595	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	
OTU_3606	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales		
OTU_3608	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_3611	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
OTU_3615	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_3624	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_3636	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_3640	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_3643	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_3644	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	
OTU_3650	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	
OTU_3651	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_3654	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	
OTU_3657	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_3697	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_3699	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_3703	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_3707	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_3712	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_3716	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_3718	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_3764	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_3765	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	
OTU_3771	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	
OTU_3778	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_3785	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_3791	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_3817	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_3825	k__Bacteria					
OTU_3859	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_3885	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_3892	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
OTU_3893	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales		
OTU_3905	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_3917	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_3918	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_3919	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_3921	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_3926	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_3940	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_3942	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales		
OTU_3945	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
OTU_3947	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
OTU_3951	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_3959	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_3974	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
OTU_3988	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
OTU_3990	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_4004	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	
OTU_4017	k__Bacteria					
OTU_4033	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_4041	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	
OTU_4043	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_4051	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_4053	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales		
OTU_4059	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_4062	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_4085	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_4101	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_4103	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_4108	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
OTU_4129	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_4148	k__Bacteria					
OTU_4151	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	
OTU_4155	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_4165	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
OTU_4178	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	
OTU_4182	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Propionibacteriaceae	
OTU_4191	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_4208	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales		
OTU_4211	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_4226	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_4230	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	
OTU_4234	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_4240	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_4249	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_4263	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_4265	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
OTU_4270	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_4273	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_4284	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales		
OTU_4299	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_4301	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_4317	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_4318	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	
OTU_4321	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_4325	k__Bacteria					
OTU_4327	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_4328	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_4330	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_4332	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_4342	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_4352	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_4360	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_4369	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_4384	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_4388	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_4405	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_4425	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_4429	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_4437	k__Bacteria					
OTU_4443	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_4449	Unassigned					
OTU_4469	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_4483	k__Bacteria	p__Firmicutes				
OTU_4496	k__Bacteria	p__Firmicutes				
OTU_4498	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_4516	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_4521	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	
OTU_4530	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales		
OTU_4535	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_4537	k__Bacteria					
OTU_4546	k__Bacteria	p__Bacteroidetes	c__Bacteroidia			
OTU_4563	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	
OTU_4568	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales		
OTU_4573	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_4580	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_4584	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_4587	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_4607	k__Bacteria					
OTU_4628	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiales_Incertae Sedis XIII	
OTU_4648	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_4658	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_4663	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_4666	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	
OTU_4683	k__Bacteria					
OTU_4697	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_4702	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_4718	k__Bacteria					
OTU_4733	k__Bacteria	p__Firmicutes				
OTU_4734	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_4735	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_4736	k__Bacteria					
OTU_4747	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_4753	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	
OTU_4756	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_4760	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_4761	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	
OTU_4766	k__Bacteria					
OTU_4772	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_4781	k__Bacteria					
OTU_4800	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Selenomonadales		
OTU_4804	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_4807	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_4831	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	
OTU_4833	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_4835	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_4836	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_4839	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_4845	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_4848	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_4861	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_4897	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_4905	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
OTU_4908	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_4929	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_4936	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_4940	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_4943	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_4945	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
OTU_4946	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_4950	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	
OTU_4953	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_4955	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_4970	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_4972	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_4976	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	
OTU_4977	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_4988	k__Bacteria	p__Bacteroidetes	c__Bacteroidia			
OTU_5008	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_5022	k__Bacteria					
OTU_5023	k__Bacteria					
OTU_5032	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_5037	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_5039	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	
OTU_5040	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	
OTU_5056	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_5061	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_5068	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_5075	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_5079	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_5082	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_5104	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales		
OTU_5113	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_5126	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_5145	k__Bacteria	p__Firmicutes				
OTU_5146	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_5149	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_5178	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	
OTU_5180	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_5182	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_5189	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
OTU_5192	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	
OTU_5197	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_5198	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_5216	k__Bacteria	p__Firmicutes				
OTU_5223	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_5237	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales		
OTU_5241	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_5249	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Coriobacteriales	f__Coriobacteriaceae	
OTU_5254	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_5259	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_5261	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Brevibacteriaceae	
OTU_5265	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_5268	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_5279	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_5288	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_5314	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_5322	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_5332	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_5342	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_5349	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	
OTU_5350	k__Bacteria					
OTU_5370	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_5375	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_5383	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Propionibacteriaceae	
OTU_5384	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_5434	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_5437	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_5439	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	
OTU_5440	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_5457	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	
OTU_5466	k__Bacteria	p__Firmicutes	c__Bacilli			
OTU_5472	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_5473	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	
OTU_5475	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales		
OTU_5476	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales		
OTU_5484	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_5487	k__Bacteria	p__Actinobacteria	c__Actinobacteria			
OTU_5488	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales		
OTU_5491	Unassigned					
OTU_5492	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	
OTU_5504	k__Bacteria	p__Firmicutes	c__Clostridia			
OTU_5506	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales		
